24 12 2304

-1 -1 53 -1 15 56 -1 -1 55 35 -1 8 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 26 -1 -1 51 -1 59 14 -1 16 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
18 -1 3 -1 -1 82 42 -1 33 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 30 73 53 -1 49 -1 -1 8 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1
-1 67 -1 15 84 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 82 0 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 71 83 34 -1 -1 -1 -1 -1 0 -1 -1 25 0 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 8 27 87 -1 -1 -1 0 -1 -1 -1 -1 59 0 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 91 -1 62 52 -1 -1 -1 0 -1 -1 6 0 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 11 5 17 -1 -1 0 -1 -1 -1 -1 12 0 -1 -1 -1
-1 -1 2 43 53 -1 -1 -1 -1 -1 -1 -1 -1 -1 73 -1 -1 -1 -1 -1 34 0 -1 -1
54 -1 26 -1 -1 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 0 0
52 91 -1 -1 -1 -1 -1 -1 -1 38 -1 -1 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 66 0

-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 71 -1
